stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Desktop\Jogos\Pong CodeBlocks\ProjetoPong\bin\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.12640] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12646] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12653] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12658] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12664] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12670] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12676] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12682] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12688] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12694] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12718] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12725] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12732] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12738] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12744] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12750] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12756] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12761] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12768] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12773] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12780] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12785] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12792] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12797] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12804] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12809] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12816] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12821] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12828] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12833] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12840] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12845] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12852] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12857] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12863] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12869] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12875] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12881] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
